Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Demiurge,Meshuggah,Koloss,2012,372866,3,0.207,0.945,1,-5.277,1,0.0787,0.0000326,0.79,0.0947,0.0399,113.254,51
Future Breed Machine,Meshuggah,Destroy Erase Improve (Reloaded),1995,348682,1,0.299,0.97,1,-6.865,1,0.157,0.000993,0.0953,0.304,0.154,175.353,44
New Millennium Cyanide Christ,Meshuggah,Chaosphere (Reloaded),1998,335666,4,0.269,0.964,10,-5.182,0,0.143,0.000241,0.00211,0.131,0.159,149.86,43
Rational Gaze,Meshuggah,Nothing,2002,304493,1,0.528,0.976,1,-5.157,1,0.0919,0.0000459,0.0828,0.0944,0.243,133.01,48
Stengah,Meshuggah,Nothing,2008,336253,4,0.551,0.925,1,-5.246,1,0.147,0.0000908,0.685,0.156,0.386,120.031,34
The Demon's Name Is Surveillance,Meshuggah,Koloss,2008,279333,3,0.347,0.924,8,-3.996,1,0.0735,0.000001,0.928,0.243,0.185,161.962,39
Badlands,Metal Church,Blessing In Disguise,1989,444453,4,0.372,0.912,9,-8.832,0,0.0713,0.00163,0.0275,0.297,0.459,166.889,34
Beyond the Black,Metal Church,Metal Church,1986,381480,4,0.323,0.921,8,-7.393,1,0.0758,0.00354,0.469,0.205,0.308,115.548,35
Metal Church,Metal Church,Metal Church,1984,302360,4,0.428,0.947,10,-8.516,0,0.0751,0.000679,0.0563,0.262,0.223,102.335,44
Start the Fire,Metal Church,The Dark,1985,225800,4,0.507,0.921,4,-10.351,1,0.044,0.000248,0.00261,0.364,0.475,148.757,39
The Dark,Metal Church,The Dark,1986,252200,4,0.492,0.947,4,-9.013,1,0.0624,0.000207,0.00239,0.185,0.285,104.462,28
The Human Factor,Metal Church,The Human Factor,1991,299466,4,0.506,0.971,0,-7.786,1,0.0607,0.00224,0.0000717,0.291,0.323,94.153,18
Watch the Children Pray,Metal Church,The Dark,1984,357466,4,0.325,0.845,11,-10.193,0,0.0561,0.000209,0.000277,0.109,0.0982,112.632,41
Battery,Metallica,Master of Puppets,1986,312000,4,0.48,0.923,11,-8.793,0,0.0682,0.000211,0.531,0.106,0.44,96.535,47
Creeping Death,Metallica,Ride The Lightning,1984,395000,4,0.31,0.977,6,-5.478,0,0.164,0.000219,0.273,0.0785,0.179,100.626,48
Enter Sandman,Metallica,Metallica,1991,331000,4,0.566,0.834,6,-8.412,0,0.0298,0.00277,0.008,0.0625,0.621,123.296,76
Fade To Black,Metallica,Ride The Lightning,1984,417000,4,0.256,0.929,7,-6.667,1,0.113,0.00311,0.201,0.11,0.278,113.47,50
For Whom The Bell Tolls,Metallica,Ride The Lightning,1984,309000,4,0.512,0.86,0,-6.145,1,0.0703,0.00631,0.00528,0.0652,0.258,117.909,52
Master Of Puppets,Metallica,Master of Puppets,1986,515000,4,0.539,0.828,4,-9.108,0,0.035,0.00067,0.421,0.154,0.562,105.25,49
Nothing Else Matters,Metallica,Metallica,1991,388000,3,0.547,0.394,4,-9.793,0,0.0262,0.0522,0.0000064,0.0795,0.17,142.37,70
One,Metallica,...And Justice for All,1988,446000,3,0.438,0.687,7,-9.15,1,0.0619,0.000668,0.0801,0.42,0.426,103.01,49
Sad But True,Metallica,Metallica,1991,324000,4,0.624,0.876,7,-6.005,1,0.0342,0.000926,0.00164,0.0561,0.453,89.24,66
Seek & Destroy,Metallica,Kill 'Em All,1983,414000,4,0.439,0.963,9,-5.508,1,0.277,0.0364,0.00896,0.0784,0.435,140.805,64
Astro Zombies,Misfits,Collection,1985,131333,4,0.468,0.846,0,-11.889,1,0.0484,0.608,0.468,0.214,0.476,110.761,50
"Die, Die My Darling",Misfits,"Earth A.D. / Die, Die My Darling",1984,191733,4,0.313,0.876,11,-13.151,0,0.0386,0.436,0,0.0989,0.547,172.717,52
Hybrid Moments - C.I. Recording 1978,Misfits,The Misfits Box Set,1978,102266,4,0.17,0.81,2,-9.339,1,0.0521,0.27,0.0445,0.104,0.547,193.791,63
Last Caress - C.I. Recording 1978,Misfits,The Misfits Box Set,1983,117080,4,0.33,0.906,0,-9.607,1,0.0513,0.533,0.0208,0.15,0.418,91.186,59
London Dungeon,Misfits,Collection,1983,154400,4,0.344,0.912,0,-11.219,1,0.164,0.109,0.0973,0.19,0.273,170.842,53
She - Reel Platinum 1985,Misfits,The Misfits Box Set,1985,82666,4,0.147,0.972,2,-7.005,1,0.0655,0.0000108,0.886,0.24,0.27,187.038,46
Teenagers From Mars,Misfits,Static Age,1984,170706,4,0.347,0.945,4,-9.165,1,0.0469,0.274,0.648,0.168,0.462,164.606,40
Where Eagles Dare,Misfits,Collection,1980,128426,4,0.282,0.943,2,-7.746,1,0.121,0.741,0.414,0.178,0.15,182.381,60
Dr. Feelgood,Motley Crue,Dr. Feelgood (Deluxe Version),1989,289000,4,0.53,0.968,2,-3.941,1,0.0753,0.000702,0.0118,0.228,0.338,110.974,70
"Girls, Girls, Girls",Motley Crue,"Girls, Girls, Girls (Deluxe Version)",1987,270000,4,0.599,0.922,7,-4.887,1,0.0739,0.025,0.0000582,0.356,0.514,140.098,70
Home Sweet Home,Motley Crue,Theatre of Pain,1985,239000,4,0.397,0.776,5,-6.339,1,0.0381,0.0983,0.00000409,0.189,0.127,76.301,68
Kickstart My Heart,Motley Crue,Dr. Feelgood (Deluxe Version),1989,282000,4,0.363,0.982,7,-3.621,0,0.3,0.00123,0.00218,0.284,0.275,179.23,78
Live Wire,Motley Crue,Too Fast For Love,1981,194000,4,0.411,0.904,7,-6.652,0,0.063,0.0000937,0.00000757,0.565,0.679,112.24,64
Same Ol' Situation (S.O.S.),Motley Crue,Dr. Feelgood (Deluxe Version),1989,252000,4,0.495,0.986,2,-3.109,1,0.133,0.0312,0.0000207,0.431,0.246,139.677,60
Shout At The Devil '97,Motley Crue,Generation Swine,1997,222000,4,0.52,0.99,2,-4.616,1,0.0529,0.00116,0.292,0.61,0.391,103.697,29
Too Fast for Love,Motley Crue,Too Fast For Love,1981,201000,4,0.402,0.873,7,-5.238,1,0.062,0.0000818,0.0000218,0.335,0.822,150.3,53
Wild Side,Motley Crue,"Girls, Girls, Girls (Deluxe Version)",1987,283000,4,0.602,0.874,0,-5.613,1,0.037,0.0074,0.0011,0.303,0.456,115.094,65
Looks That Kill,Motley Crue,Shout At The Devil,1983,247840,4,0.485,0.949,0,-5.79,1,0.0404,0.00327,0.00631,0.115,0.742,135.972,62
(We Are) The Road Crew (Live at Hammersmith),Motörhead,Better Motörhead Than Dead (Live at Hammersmith),2005,194853,4,0.233,0.996,3,-4.836,0,0.363,0.0327,0.211,0.706,0.04,146.359,7
Ace of Spades,Motörhead,Ace of Spades (Expanded Edition),1980,168320,4,0.322,0.991,6,-4.453,1,0.213,0.00313,0.0035,0.0708,0.198,140.221,72
Bomber,Motörhead,Bomber,1979,220800,4,0.376,0.997,8,-5.717,1,0.112,0.103,0.0814,0.792,0.139,105.931,49
Damage Case,Motörhead,Overkill (Expanded Edition),1979,182133,4,0.27,0.922,3,-6.987,0,0.109,0.00488,0.00000735,0.854,0.515,161.803,47
Iron Fist,Motörhead,Iron Fist,1982,171906,4,0.304,0.947,1,-5.302,1,0.0917,0.000431,0.00192,0.156,0.427,145.324,45
Killed by Death,Motörhead,All the Aces,1984,278373,4,0.388,0.956,6,-6.037,0,0.0471,0.00115,0.000573,0.464,0.24,134.589,53
Orgasmatron,Motörhead,Orgasmatron,1986,324506,4,0.415,0.956,3,-9.054,1,0.0426,0.0424,0.0595,0.352,0.183,127.842,45
Overkill,Motörhead,Overkill (Expanded Edition),1979,313520,4,0.27,0.886,11,-6.9,1,0.117,0.00000762,0.0258,0.0899,0.19,119.283,57
Death Blooms,Mudvayne,L.D. 50,2002,291933,4,0.275,0.974,6,-4.624,0,0.192,0.000355,0.0024,0.158,0.237,174.095,52
Determined,Mudvayne,Lost and Found,2005,159253,4,0.4,0.991,8,-2.043,1,0.152,0.0000429,0.0000066,0.28,0.45,129.519,55
Dig,Mudvayne,L.D. 50,2005,162293,4,0.623,0.983,11,-3.548,0,0.151,0.0000962,0.0617,0.261,0.271,134.975,62
Forget to Remember - From Saw II - Original Soundtrack,Mudvayne,Lost and Found,2005,215306,4,0.453,0.965,8,-3.388,1,0.141,0.000857,0.00275,0.0741,0.743,188.155,56
Happy?,Mudvayne,Lost and Found,2005,216426,4,0.546,0.97,5,-2.661,0,0.097,0.000823,0.0000208,0.275,0.383,100.065,67
Not Falling,Mudvayne,The End Of All Things To Come,2002,243933,4,0.438,0.984,8,-5.012,1,0.143,0.0000297,0.0758,0.0572,0.32,129.921,44
Silenced,Mudvayne,The End Of All Things To Come,2005,181093,4,0.643,0.986,4,-5.067,0,0.139,0.000154,0.266,0.0721,0.331,111.113,41
Bad Bad Boy,Nazareth,Razamanaz,1973,237000,4,0.621,0.916,2,-4.926,1,0.0348,0.00192,0.0000115,0.275,0.877,127.616,32
Beggars Day,Nazareth,Hair Of The Dog,1975,225000,4,0.436,0.873,10,-10.988,1,0.0743,0.00127,0.624,0.298,0.427,119.308,29
Broken Down Angel,Nazareth,Razamanaz,1973,224000,4,0.646,0.642,1,-7.48,0,0.0375,0.0545,0.0162,0.144,0.553,124.592,32
Changin' Times,Nazareth,Hair Of The Dog,1975,363000,4,0.278,0.811,9,-10.518,1,0.0416,0.00267,0.0302,0.161,0.653,172.317,30
Expect No Mercy,Nazareth,Expect No Mercy,1977,205000,4,0.496,0.903,7,-7.866,1,0.0441,0.0405,0.93,0.291,0.681,133.351,21
Hair Of The Dog,Nazareth,Hair Of The Dog,1975,249000,4,0.688,0.745,4,-10.323,1,0.0519,0.00285,0.238,0.114,0.688,128.556,57
Holiday,Nazareth,Malice In Wonderland,1980,216000,4,0.615,0.834,7,-5.726,1,0.0318,0.0311,0.00000294,0.143,0.688,131.606,31
Love Hurts,Nazareth,Hair Of The Dog,1975,233000,4,0.485,0.328,7,-11.853,1,0.0254,0.00596,0.0032,0.325,0.138,79.766,58
This Flight Tonight - 1991 Version,Nazareth,No Jive,1991,216000,4,0.626,0.892,7,-6.908,1,0.0452,0.000863,0.0000391,0.0855,0.38,127.21,13
Amaranth,Nightwish,Dark Passion Play,2007,231444,4,0.558,0.859,2,-3.992,0,0.0421,0.00469,0.00196,0.0831,0.31,127.98,61
Elvenpath - Remastered,Nightwish,Angels Fall First,1997,277866,4,0.428,0.93,9,-4.054,1,0.117,0.00033,0.279,0.142,0.138,145.481,34
Ghost Love Score,Nightwish,Once,2004,602080,3,0.442,0.779,5,-5.392,0,0.0394,0.00969,0.000539,0.113,0.203,100.969,50
Nemo,Nightwish,Once,2004,276200,4,0.494,0.735,0,-6.326,0,0.0348,0.000185,0.0000838,0.086,0.359,125.042,64
Over The Hills And Far Away,Nightwish,Over The Hills And Far Away,2007,302266,4,0.238,0.915,4,-3.297,0,0.0725,0.000305,0.000281,0.0916,0.375,135.453,52
Planet Hell,Nightwish,Once,2004,278760,4,0.476,0.862,10,-5.936,0,0.0544,0.0000244,0.0288,0.121,0.39,145.975,48
Sleeping Sun,Nightwish,Oceanborn,1999,245000,4,0.336,0.573,2,-6.454,0,0.0303,0.0089,0,0.102,0.0735,110.336,53
Storytime,Nightwish,Imaginaerum,2011,322280,4,0.465,0.971,5,-3.466,0,0.0749,0.00366,0.00375,0.326,0.483,156.171,58
The Phantom Of The Opera,Nightwish,Century Child,2001,248706,4,0.428,0.835,5,-7.7,0,0.0508,0.00000693,0.0309,0.0727,0.305,131.892,58
Wish I Had an Angel,Nightwish,Once,2004,245973,4,0.44,0.942,4,-5.998,0,0.0554,0.0000091,0.0531,0.321,0.584,79.508,62
Blackwater Park,Opeth,Blackwater Park,2001,731306,4,0.109,0.854,2,-6.758,1,0.0871,0.000381,0.228,0.197,0.134,79.958,43
Bleak,Opeth,Blackwater Park,2001,555933,4,0.247,0.868,0,-4.902,1,0.0762,0.0000819,0.663,0.594,0.261,97.527,45
Deliverance,Opeth,Deliverance,2002,816720,4,0.283,0.973,4,-4.006,0,0.0459,0.000281,0.706,0.192,0.275,97.303,44
Demon Of The Fall,Opeth,"My Arms, Your Hearse",1996,373386,3,0.348,0.955,2,-5.767,0,0.117,0.0000231,0.8,0.0947,0.126,102.879,40
Ghost of Perdition,Opeth,Ghost Reveries,2005,629480,3,0.292,0.818,9,-6.227,0,0.0413,0.000697,0.00192,0.0544,0.19,93.924,52
Harvest,Opeth,Blackwater Park,2001,361466,4,0.501,0.686,4,-6.457,0,0.0246,0.0405,0.014,0.0846,0.218,62.509,49
